                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3268,                0.78224,                 1.5274,                0.93691,                 0.9255,                0.96554,                0.65901,                 1.3272,                0.65971,                 1.6061,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.2968,                0.78006,                 1.5267,                0.94044,                0.92639,                0.96714,                0.67382,                 1.2975,                0.65507,                  1.576,               0.000948,               0.000948,               0.000948
                     37,                 1.3094,                0.76085,                 1.5153,                0.93671,                0.92536,                0.96597,                0.67048,                    1.3,                0.64509,                 1.5771,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.3018,                0.75514,                 1.5049,                0.94049,                0.93537,                0.96967,                0.67148,                 1.2842,                0.63296,                 1.5754,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.2959,                0.76807,                 1.5137,                0.95133,                0.93477,                0.97221,                0.67637,                 1.2723,                0.61773,                 1.5602,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3198,                0.76106,                 1.5086,                 0.9357,                 0.9342,                0.96857,                0.67735,                 1.2785,                0.64704,                 1.5578,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2921,                0.74683,                 1.5013,                0.94131,                0.93843,                0.97102,                0.68264,                 1.2719,                0.61576,                 1.5634,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2962,                0.75138,                 1.4996,                0.94666,                0.93792,                0.97136,                0.67455,                 1.2767,                0.62622,                 1.5551,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2765,                0.73656,                  1.486,                0.94807,                0.93848,                0.97361,                0.68381,                 1.2662,                0.60707,                 1.5484,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.2736,                0.73478,                 1.4802,                0.94659,                0.93937,                0.97221,                0.68519,                 1.2488,                0.62054,                 1.5311,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2517,                0.72023,                 1.4779,                0.94605,                0.94125,                0.97298,                0.68963,                 1.2302,                0.59886,                 1.5165,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2658,                0.72032,                 1.4896,                0.95028,                0.93963,                0.97505,                0.68548,                 1.2403,                 0.5919,                 1.5351,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2617,                0.73225,                 1.4801,                0.95295,                0.94385,                0.97592,                0.69375,                 1.2327,                0.58586,                 1.5267,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2643,                0.71259,                 1.4755,                0.95102,                0.94958,                0.97712,                0.70341,                 1.2024,                0.57113,                 1.4906,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2518,                0.71088,                  1.468,                 0.9453,                0.94467,                0.97468,                0.70183,                 1.2019,                0.57872,                  1.495,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2435,                0.69361,                 1.4541,                0.95598,                0.94293,                0.97716,                0.69499,                 1.2297,                 0.5735,                 1.5119,             0.00074994,             0.00074994,             0.00074994
                     51,                  1.245,                0.69621,                 1.4633,                0.95615,                0.94528,                0.97795,                0.70316,                 1.1959,                0.56321,                 1.4876,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2351,                0.69966,                 1.4565,                  0.953,                0.95287,                0.97947,                0.70668,                 1.1673,                0.55661,                 1.4663,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2255,                0.69446,                 1.4537,                0.95178,                0.94693,                0.97776,                0.69898,                 1.1872,                0.56432,                 1.4785,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.2426,                0.69051,                 1.4625,                0.95493,                0.95214,                0.97949,                0.71073,                 1.1744,                0.55341,                 1.4686,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.2192,                0.68328,                 1.4346,                0.96029,                0.95579,                0.98035,                0.70741,                 1.1683,                0.54498,                 1.4612,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.2075,                 0.6728,                 1.4278,                0.95868,                0.95633,                0.98137,                0.70967,                 1.1629,                0.54329,                 1.4579,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.2201,                0.68833,                 1.4433,                0.95731,                0.95532,                0.98115,                0.71242,                 1.1535,                0.53806,                 1.4559,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.2062,                0.67464,                 1.4471,                 0.9579,                0.95341,                0.98132,                0.71314,                 1.1537,                0.53792,                 1.4582,             0.00063676,             0.00063676,             0.00063676
                     59,                  1.203,                0.66254,                 1.4258,                0.95814,                0.95716,                0.98117,                0.71749,                 1.1326,                0.53559,                 1.4336,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.2034,                0.66931,                 1.4343,                0.95847,                0.96139,                0.98314,                0.72016,                 1.1262,                0.51931,                 1.4234,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1862,                0.65729,                 1.4185,                0.95704,                0.96289,                0.98265,                0.72166,                 1.1203,                0.52001,                 1.4204,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.1801,                0.65882,                 1.4109,                 0.9595,                0.96228,                0.98366,                0.72935,                 1.0948,                0.51002,                 1.4058,             0.00058017,             0.00058017,             0.00058017
                     63,                  1.183,                 0.6494,                 1.4123,                0.95959,                0.96163,                0.98455,                0.72442,                 1.1004,                0.50949,                 1.4064,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.1793,                0.64516,                  1.417,                0.96091,                0.96149,                0.98402,                0.72162,                 1.1117,                 0.5153,                 1.4145,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.1744,                0.65389,                 1.4062,                0.95707,                 0.9644,                0.98457,                0.72801,                 1.0859,                0.50851,                  1.396,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1657,                0.64606,                  1.408,                0.96157,                0.95955,                0.98504,                0.72825,                 1.0956,                0.51112,                  1.406,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.1792,                0.63954,                 1.4001,                0.96544,                0.96139,                0.98452,                0.73352,                 1.0789,                0.50256,                  1.389,             0.00050944,             0.00050944,             0.00050944
